disease,F1,model,rate,dataset,bootstrap_num
atrial fibrillation,0.7762803234501348,minirocket,50.0,ChapmanShaoxing,0
atrial fibrillation,0.8171428571428572,minirocket,50.0,ChapmanShaoxing,1
atrial fibrillation,0.7909604519774012,minirocket,50.0,ChapmanShaoxing,2
atrial fibrillation,0.768392370572207,minirocket,50.0,ChapmanShaoxing,3
atrial fibrillation,0.8403361344537815,minirocket,50.0,ChapmanShaoxing,4
atrial fibrillation,0.8212290502793296,minirocket,50.0,ChapmanShaoxing,5
atrial fibrillation,0.8085106382978723,minirocket,50.0,ChapmanShaoxing,6
atrial fibrillation,0.8137535816618912,minirocket,50.0,ChapmanShaoxing,7
atrial fibrillation,0.8411764705882354,minirocket,50.0,ChapmanShaoxing,8
atrial fibrillation,0.801186943620178,minirocket,50.0,ChapmanShaoxing,9
atrial fibrillation,0.8181818181818181,minirocket,50.0,ChapmanShaoxing,10
atrial fibrillation,0.8123249299719888,minirocket,50.0,ChapmanShaoxing,11
atrial fibrillation,0.8360655737704918,minirocket,50.0,ChapmanShaoxing,12
atrial fibrillation,0.8082595870206488,minirocket,50.0,ChapmanShaoxing,13
atrial fibrillation,0.8498583569405099,minirocket,50.0,ChapmanShaoxing,14
atrial fibrillation,0.8258426966292135,minirocket,50.0,ChapmanShaoxing,15
atrial fibrillation,0.7976878612716763,minirocket,50.0,ChapmanShaoxing,16
atrial fibrillation,0.815028901734104,minirocket,50.0,ChapmanShaoxing,17
atrial fibrillation,0.8035714285714285,minirocket,50.0,ChapmanShaoxing,18
atrial fibrillation,0.8299711815561959,minirocket,50.0,ChapmanShaoxing,19
atrial fibrillation,0.8664688427299703,minirocket,125.0,ChapmanShaoxing,0
atrial fibrillation,0.781869688385269,minirocket,125.0,ChapmanShaoxing,1
atrial fibrillation,0.8179271708683473,minirocket,125.0,ChapmanShaoxing,2
atrial fibrillation,0.8412256267409473,minirocket,125.0,ChapmanShaoxing,3
atrial fibrillation,0.863509749303621,minirocket,125.0,ChapmanShaoxing,4
atrial fibrillation,0.8488372093023255,minirocket,125.0,ChapmanShaoxing,5
atrial fibrillation,0.8033240997229917,minirocket,125.0,ChapmanShaoxing,6
atrial fibrillation,0.830860534124629,minirocket,125.0,ChapmanShaoxing,7
atrial fibrillation,0.8470588235294118,minirocket,125.0,ChapmanShaoxing,8
atrial fibrillation,0.8376068376068375,minirocket,125.0,ChapmanShaoxing,9
atrial fibrillation,0.834834834834835,minirocket,125.0,ChapmanShaoxing,10
atrial fibrillation,0.84,minirocket,125.0,ChapmanShaoxing,11
atrial fibrillation,0.8421052631578948,minirocket,125.0,ChapmanShaoxing,12
atrial fibrillation,0.8258426966292135,minirocket,125.0,ChapmanShaoxing,13
atrial fibrillation,0.8588235294117648,minirocket,125.0,ChapmanShaoxing,14
atrial fibrillation,0.8749999999999999,minirocket,125.0,ChapmanShaoxing,15
atrial fibrillation,0.7902735562310029,minirocket,125.0,ChapmanShaoxing,16
atrial fibrillation,0.872093023255814,minirocket,125.0,ChapmanShaoxing,17
atrial fibrillation,0.8495575221238938,minirocket,125.0,ChapmanShaoxing,18
atrial fibrillation,0.8547008547008546,minirocket,125.0,ChapmanShaoxing,19
atrial fibrillation,0.8262108262108262,minirocket,250.0,ChapmanShaoxing,0
atrial fibrillation,0.8546511627906977,minirocket,250.0,ChapmanShaoxing,1
atrial fibrillation,0.8242074927953891,minirocket,250.0,ChapmanShaoxing,2
atrial fibrillation,0.8205128205128206,minirocket,250.0,ChapmanShaoxing,3
atrial fibrillation,0.8269794721407624,minirocket,250.0,ChapmanShaoxing,4
atrial fibrillation,0.8069164265129682,minirocket,250.0,ChapmanShaoxing,5
atrial fibrillation,0.8222222222222223,minirocket,250.0,ChapmanShaoxing,6
atrial fibrillation,0.8132530120481929,minirocket,250.0,ChapmanShaoxing,7
atrial fibrillation,0.8587570621468926,minirocket,250.0,ChapmanShaoxing,8
atrial fibrillation,0.8314606741573033,minirocket,250.0,ChapmanShaoxing,9
atrial fibrillation,0.8262108262108262,minirocket,250.0,ChapmanShaoxing,10
atrial fibrillation,0.8467966573816156,minirocket,250.0,ChapmanShaoxing,11
atrial fibrillation,0.8418079096045198,minirocket,250.0,ChapmanShaoxing,12
atrial fibrillation,0.8319088319088318,minirocket,250.0,ChapmanShaoxing,13
atrial fibrillation,0.8181818181818181,minirocket,250.0,ChapmanShaoxing,14
atrial fibrillation,0.8685714285714285,minirocket,250.0,ChapmanShaoxing,15
atrial fibrillation,0.836676217765043,minirocket,250.0,ChapmanShaoxing,16
atrial fibrillation,0.7717391304347827,minirocket,250.0,ChapmanShaoxing,17
atrial fibrillation,0.7917888563049854,minirocket,250.0,ChapmanShaoxing,18
atrial fibrillation,0.8248587570621468,minirocket,250.0,ChapmanShaoxing,19
atrial fibrillation,0.8269794721407624,minirocket,375.0,ChapmanShaoxing,0
atrial fibrillation,0.8441926345609065,minirocket,375.0,ChapmanShaoxing,1
atrial fibrillation,0.8333333333333334,minirocket,375.0,ChapmanShaoxing,2
atrial fibrillation,0.8361581920903954,minirocket,375.0,ChapmanShaoxing,3
atrial fibrillation,0.8620689655172413,minirocket,375.0,ChapmanShaoxing,4
atrial fibrillation,0.8621700879765396,minirocket,375.0,ChapmanShaoxing,5
atrial fibrillation,0.8700564971751411,minirocket,375.0,ChapmanShaoxing,6
atrial fibrillation,0.8806818181818181,minirocket,375.0,ChapmanShaoxing,7
atrial fibrillation,0.8328767123287671,minirocket,375.0,ChapmanShaoxing,8
atrial fibrillation,0.8304093567251462,minirocket,375.0,ChapmanShaoxing,9
atrial fibrillation,0.856338028169014,minirocket,375.0,ChapmanShaoxing,10
atrial fibrillation,0.815028901734104,minirocket,375.0,ChapmanShaoxing,11
atrial fibrillation,0.8517520215633423,minirocket,375.0,ChapmanShaoxing,12
atrial fibrillation,0.8418079096045198,minirocket,375.0,ChapmanShaoxing,13
atrial fibrillation,0.8313953488372092,minirocket,375.0,ChapmanShaoxing,14
atrial fibrillation,0.859504132231405,minirocket,375.0,ChapmanShaoxing,15
atrial fibrillation,0.861271676300578,minirocket,375.0,ChapmanShaoxing,16
atrial fibrillation,0.8101983002832861,minirocket,375.0,ChapmanShaoxing,17
atrial fibrillation,0.8424068767908309,minirocket,375.0,ChapmanShaoxing,18
atrial fibrillation,0.8492307692307692,minirocket,375.0,ChapmanShaoxing,19
atrial fibrillation,0.8297872340425532,minirocket,500.0,ChapmanShaoxing,0
atrial fibrillation,0.8629737609329445,minirocket,500.0,ChapmanShaoxing,1
atrial fibrillation,0.8201892744479495,minirocket,500.0,ChapmanShaoxing,2
atrial fibrillation,0.8594594594594595,minirocket,500.0,ChapmanShaoxing,3
atrial fibrillation,0.8361581920903954,minirocket,500.0,ChapmanShaoxing,4
atrial fibrillation,0.8439306358381502,minirocket,500.0,ChapmanShaoxing,5
atrial fibrillation,0.7757255936675462,minirocket,500.0,ChapmanShaoxing,6
atrial fibrillation,0.8187134502923978,minirocket,500.0,ChapmanShaoxing,7
atrial fibrillation,0.8520710059171599,minirocket,500.0,ChapmanShaoxing,8
atrial fibrillation,0.8192771084337349,minirocket,500.0,ChapmanShaoxing,9
atrial fibrillation,0.8523676880222841,minirocket,500.0,ChapmanShaoxing,10
atrial fibrillation,0.8472622478386168,minirocket,500.0,ChapmanShaoxing,11
atrial fibrillation,0.8620689655172413,minirocket,500.0,ChapmanShaoxing,12
atrial fibrillation,0.8597014925373134,minirocket,500.0,ChapmanShaoxing,13
atrial fibrillation,0.8659217877094972,minirocket,500.0,ChapmanShaoxing,14
atrial fibrillation,0.8338368580060423,minirocket,500.0,ChapmanShaoxing,15
atrial fibrillation,0.838888888888889,minirocket,500.0,ChapmanShaoxing,16
atrial fibrillation,0.8440366972477064,minirocket,500.0,ChapmanShaoxing,17
atrial fibrillation,0.8571428571428572,minirocket,500.0,ChapmanShaoxing,18
atrial fibrillation,0.8579545454545455,minirocket,500.0,ChapmanShaoxing,19
left ventricular high voltage,0.4827586206896552,minirocket,50.0,ChapmanShaoxing,0
left ventricular high voltage,0.5365853658536586,minirocket,50.0,ChapmanShaoxing,1
left ventricular high voltage,0.5267857142857143,minirocket,50.0,ChapmanShaoxing,2
left ventricular high voltage,0.4894514767932489,minirocket,50.0,ChapmanShaoxing,3
left ventricular high voltage,0.5726141078838174,minirocket,50.0,ChapmanShaoxing,4
left ventricular high voltage,0.4636363636363637,minirocket,50.0,ChapmanShaoxing,5
left ventricular high voltage,0.6094420600858369,minirocket,50.0,ChapmanShaoxing,6
left ventricular high voltage,0.5596707818930041,minirocket,50.0,ChapmanShaoxing,7
left ventricular high voltage,0.5412844036697249,minirocket,50.0,ChapmanShaoxing,8
left ventricular high voltage,0.4744186046511627,minirocket,50.0,ChapmanShaoxing,9
left ventricular high voltage,0.4676616915422886,minirocket,50.0,ChapmanShaoxing,10
left ventricular high voltage,0.5102880658436214,minirocket,50.0,ChapmanShaoxing,11
left ventricular high voltage,0.4020618556701031,minirocket,50.0,ChapmanShaoxing,12
left ventricular high voltage,0.5073170731707317,minirocket,50.0,ChapmanShaoxing,13
left ventricular high voltage,0.532319391634981,minirocket,50.0,ChapmanShaoxing,14
left ventricular high voltage,0.6120689655172413,minirocket,50.0,ChapmanShaoxing,15
left ventricular high voltage,0.4901960784313726,minirocket,50.0,ChapmanShaoxing,16
left ventricular high voltage,0.3819095477386934,minirocket,50.0,ChapmanShaoxing,17
left ventricular high voltage,0.5892857142857143,minirocket,50.0,ChapmanShaoxing,18
left ventricular high voltage,0.4818181818181818,minirocket,50.0,ChapmanShaoxing,19
left ventricular high voltage,0.5851528384279475,minirocket,125.0,ChapmanShaoxing,0
left ventricular high voltage,0.5217391304347826,minirocket,125.0,ChapmanShaoxing,1
left ventricular high voltage,0.5701357466063348,minirocket,125.0,ChapmanShaoxing,2
left ventricular high voltage,0.611764705882353,minirocket,125.0,ChapmanShaoxing,3
left ventricular high voltage,0.5982905982905983,minirocket,125.0,ChapmanShaoxing,4
left ventricular high voltage,0.5438596491228069,minirocket,125.0,ChapmanShaoxing,5
left ventricular high voltage,0.5727272727272728,minirocket,125.0,ChapmanShaoxing,6
left ventricular high voltage,0.5943775100401606,minirocket,125.0,ChapmanShaoxing,7
left ventricular high voltage,0.4343434343434343,minirocket,125.0,ChapmanShaoxing,8
left ventricular high voltage,0.5596330275229359,minirocket,125.0,ChapmanShaoxing,9
left ventricular high voltage,0.6136363636363635,minirocket,125.0,ChapmanShaoxing,10
left ventricular high voltage,0.6101694915254238,minirocket,125.0,ChapmanShaoxing,11
left ventricular high voltage,0.546218487394958,minirocket,125.0,ChapmanShaoxing,12
left ventricular high voltage,0.5701357466063348,minirocket,125.0,ChapmanShaoxing,13
left ventricular high voltage,0.5525291828793774,minirocket,125.0,ChapmanShaoxing,14
left ventricular high voltage,0.5887445887445887,minirocket,125.0,ChapmanShaoxing,15
left ventricular high voltage,0.3980099502487562,minirocket,125.0,ChapmanShaoxing,16
left ventricular high voltage,0.4232804232804232,minirocket,125.0,ChapmanShaoxing,17
left ventricular high voltage,0.4313725490196078,minirocket,125.0,ChapmanShaoxing,18
left ventricular high voltage,0.5665236051502146,minirocket,125.0,ChapmanShaoxing,19
