model,lp,bootstrap_num,disease,F1,dataset
inception,30.0,0,atrial fibrillation,0.9054441260744986,ChapmanShaoxing
inception,30.0,1,atrial fibrillation,0.8913043478260869,ChapmanShaoxing
inception,30.0,2,atrial fibrillation,0.9209809264305178,ChapmanShaoxing
inception,30.0,3,atrial fibrillation,0.9141274238227148,ChapmanShaoxing
inception,30.0,4,atrial fibrillation,0.89196675900277,ChapmanShaoxing
inception,30.0,5,atrial fibrillation,0.9030470914127424,ChapmanShaoxing
inception,30.0,6,atrial fibrillation,0.9096045197740112,ChapmanShaoxing
inception,30.0,7,atrial fibrillation,0.8870056497175142,ChapmanShaoxing
inception,30.0,8,atrial fibrillation,0.8972972972972972,ChapmanShaoxing
inception,30.0,9,atrial fibrillation,0.9106628242074928,ChapmanShaoxing
inception,30.0,10,atrial fibrillation,0.9008498583569404,ChapmanShaoxing
inception,30.0,11,atrial fibrillation,0.9217391304347826,ChapmanShaoxing
inception,30.0,12,atrial fibrillation,0.8779220779220779,ChapmanShaoxing
inception,30.0,13,atrial fibrillation,0.9028571428571428,ChapmanShaoxing
inception,30.0,14,atrial fibrillation,0.9090909090909092,ChapmanShaoxing
inception,30.0,15,atrial fibrillation,0.9043478260869564,ChapmanShaoxing
inception,30.0,16,atrial fibrillation,0.925287356321839,ChapmanShaoxing
inception,30.0,17,atrial fibrillation,0.9085714285714288,ChapmanShaoxing
inception,30.0,18,atrial fibrillation,0.8863636363636365,ChapmanShaoxing
inception,30.0,19,atrial fibrillation,0.8967391304347826,ChapmanShaoxing
inception,50.0,0,atrial fibrillation,0.904899135446686,ChapmanShaoxing
inception,50.0,1,atrial fibrillation,0.905027932960894,ChapmanShaoxing
inception,50.0,2,atrial fibrillation,0.8914956011730205,ChapmanShaoxing
inception,50.0,3,atrial fibrillation,0.8948787061994609,ChapmanShaoxing
inception,50.0,4,atrial fibrillation,0.9150684931506848,ChapmanShaoxing
inception,50.0,5,atrial fibrillation,0.9101123595505618,ChapmanShaoxing
inception,50.0,6,atrial fibrillation,0.8906666666666667,ChapmanShaoxing
inception,50.0,7,atrial fibrillation,0.904494382022472,ChapmanShaoxing
inception,50.0,8,atrial fibrillation,0.9070422535211268,ChapmanShaoxing
inception,50.0,9,atrial fibrillation,0.912280701754386,ChapmanShaoxing
inception,50.0,10,atrial fibrillation,0.905027932960894,ChapmanShaoxing
inception,50.0,11,atrial fibrillation,0.8978494623655914,ChapmanShaoxing
inception,50.0,12,atrial fibrillation,0.92,ChapmanShaoxing
inception,50.0,13,atrial fibrillation,0.8932584269662921,ChapmanShaoxing
inception,50.0,14,atrial fibrillation,0.8941176470588234,ChapmanShaoxing
