model,norm_type,bootstrap_num,disease,F1,dataset
inception,raw,0,atrial fibrillation,0.8950276243093922,ChapmanShaoxing
inception,raw,1,atrial fibrillation,0.9116809116809116,ChapmanShaoxing
inception,raw,2,atrial fibrillation,0.8935064935064935,ChapmanShaoxing
inception,raw,3,atrial fibrillation,0.9126760563380282,ChapmanShaoxing
inception,raw,4,atrial fibrillation,0.8895027624309393,ChapmanShaoxing
inception,raw,5,atrial fibrillation,0.9121813031161472,ChapmanShaoxing
inception,raw,6,atrial fibrillation,0.9175824175824177,ChapmanShaoxing
inception,raw,7,atrial fibrillation,0.9028571428571428,ChapmanShaoxing
inception,raw,8,atrial fibrillation,0.9011627906976744,ChapmanShaoxing
inception,raw,9,atrial fibrillation,0.9121813031161472,ChapmanShaoxing
inception,raw,10,atrial fibrillation,0.908045977011494,ChapmanShaoxing
inception,raw,11,atrial fibrillation,0.8950276243093922,ChapmanShaoxing
inception,raw,12,atrial fibrillation,0.8849557522123893,ChapmanShaoxing
inception,raw,13,atrial fibrillation,0.888888888888889,ChapmanShaoxing
inception,raw,14,atrial fibrillation,0.9121813031161472,ChapmanShaoxing
inception,raw,15,atrial fibrillation,0.9035812672176308,ChapmanShaoxing
inception,raw,16,atrial fibrillation,0.8932584269662921,ChapmanShaoxing
inception,raw,17,atrial fibrillation,0.8768768768768769,ChapmanShaoxing
inception,raw,18,atrial fibrillation,0.8959537572254336,ChapmanShaoxing
inception,raw,19,atrial fibrillation,0.907103825136612,ChapmanShaoxing
inception,minmax,0,atrial fibrillation,0.864406779661017,ChapmanShaoxing
inception,minmax,1,atrial fibrillation,0.896174863387978,ChapmanShaoxing
inception,minmax,2,atrial fibrillation,0.9032258064516128,ChapmanShaoxing
inception,minmax,3,atrial fibrillation,0.8454810495626822,ChapmanShaoxing
inception,minmax,4,atrial fibrillation,0.8994413407821229,ChapmanShaoxing
inception,minmax,5,atrial fibrillation,0.9120879120879122,ChapmanShaoxing
inception,minmax,6,atrial fibrillation,0.9090909090909092,ChapmanShaoxing
inception,minmax,7,atrial fibrillation,0.9,ChapmanShaoxing
inception,minmax,8,atrial fibrillation,0.8819875776397516,ChapmanShaoxing
inception,minmax,9,atrial fibrillation,0.8463476070528967,ChapmanShaoxing
inception,minmax,10,atrial fibrillation,0.8732394366197184,ChapmanShaoxing
inception,minmax,11,atrial fibrillation,0.907563025210084,ChapmanShaoxing
inception,minmax,12,atrial fibrillation,0.8876712328767123,ChapmanShaoxing
inception,minmax,13,atrial fibrillation,0.8687499999999999,ChapmanShaoxing
inception,minmax,14,atrial fibrillation,0.9065934065934066,ChapmanShaoxing
inception,minmax,15,atrial fibrillation,0.8760806916426512,ChapmanShaoxing
inception,minmax,16,atrial fibrillation,0.9340974212034384,ChapmanShaoxing
